property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
1,1,0,280,خیابان مهرگان,,,,,آهن,شمالی,اجرنما,سرامیک,فلز,1,,معرف سعیدی  09133331451,6,1,1,rent,0,300000000,upload/property/thumbnail/photo_2022-11-12_09-14-52.jpg,,,,,,,,1,1,
2,1,0,233,خیابان15خردادشمالی,,,1,3476000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,,6,2,2,buy,0,0,upload/property/thumbnail/photo_2022-11-10_11-16-43.jpg,,,,,,,,1,1,
3,6,2,95,خیابان 22 بهمن مرکزی,,,1,3603000000,نوساز,شمالی,اجرنما,کف پوش,MDF,1,,آسانسور فاقد کابین و موتور,6,3,3,buy,0,0,upload/property/thumbnail/photo_2022-11-12_10-48-46.jpg,,,,,,,,1,1,
4,6,1,150,خیابان منتظری شمالی,,,3,2574600000,نوساز,جنوبی,اجرنما,سرامیک,MDF,1,,,6,4,4,buy,0,0,upload/property/thumbnail/photo_2022-11-12_09-54-46.jpg,,,,,,,,1,1,
5,6,2,150,خیابان منتظری شمالی,,,3,2251420000,نوساز,جنوبی,اجرنما,سرامیک,MDF,1,,,6,5,5,buy,0,0,upload/property/thumbnail/photo_2022-11-12_09-52-48.jpg,,,,,,,,1,1,
6,6,2,340,خیابان قدس غربی,,2,2,2100000000,بتونی,جنوبی,اجرنما,کف پوش,فلز,,,بدون کاغذ قیمت,6,6,6,buy,0,0,upload/property/thumbnail/photo_2022-11-12_09-42-48.jpg,,,,,,,,1,1,
7,1,2,140,خیابان شریعتی,,,4,3000000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,بدون کاغذ کارشناسی  دو خواب بالا  دو خواب پایین,6,7,7,buy,0,0,upload/property/thumbnail/photo_2022-11-12_09-22-52.jpg,,,,,,,,1,1,
8,1,1,156,خیابان معرفت,,,2,3300000000,نوساز,شمالی,سنگ,سرامیک,MDF,1,1,بدون کاغذ قیمت,6,8,8,buy,0,0,upload/property/thumbnail/photo_2022-11-10_11-02-43.jpg,,,,,,,,1,1,
9,2,0,1000,خیابان امام رضا,,,,3000000000,آهن,شمالی,سنگ,سرامیک,MDF,,1,بدون کاغذ قیمت,6,9,9,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
10,1,2,220,خیابان رضایی جنوبی,,,3,3500000000,آهن,جنوبی,اجرنما,سرامیک,MDF,1,1,سازه نو-مهدی پورنمازیان  1401/8/12  معرف میثم جلالی,6,10,10,buy,0,0,upload/property/thumbnail/20221103_112153.jpg,,,,,,,,1,1,
11,1,2,235,15 خرداد,,,2,,آهن,جنوبی,اجرنما,موزاییک,فلز,,1,ورودی مجزا,6,11,11,rent,500000,500000000,upload/property/thumbnail/photo_2022-11-10_11-34-42.jpg,,,,,,,,1,1,
13,1,2,144,خیابان سعدی,2,,3,3468000000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,1,دوبلکس    طبقه اول یک خواب-طبقه دوم دو خواب,6,13,13,buy,0,0,upload/property/thumbnail/۲۰۲۲۱۱۰۳_۱۲۱۶۱۷.jpg,,,,,,,,1,1,
15,1,1,305,خیابان شریعتی,,,3,4683225000,بتونی,شمالی جنوبی شرقی,سیمان سیاه,سرامیک,فلز,1,1,معرف میثم جلالی  دارای کولر و پرده,6,15,15,buy,0,0,upload/property/thumbnail/photo_2022-11-10_09-56-20.jpg,,,,,,,,1,1,
16,1,0,157,خیابان منتظری شمالی,2,,2,2997860000,آهن,شمالی,اجرنما,موزاییک,MDF,1,1,یک خواب طبقه پایین  نرخ نامه: ابراهیم پورنمازیان,6,16,16,buy,0,0,upload/property/thumbnail/photo_2022-11-10_10-01-37.jpg,,,,,,,,1,1,
19,2,0,184,پشت ارگ شیخ بهایی,,,,850000000,,شمالی غربی دو کله,,,,,,همکار امید مرادی  پا ساخت و امکانات,6,19,19,buy,0,0,upload/property/thumbnail/photo_2022-11-12_10-57-43.jpg,,,,,,,,1,1,
20,2,0,207,پشت ارگ شیخ بهایی,,,,2070000000,,شمالی,,,,,,آقای محمدی  همکار امید مرادی,6,20,20,buy,0,0,upload/property/thumbnail/photo_2022-11-10_10-06-57.jpg,,,,,,,,1,1,
25,2,0,160,بلوار ولی عصر,,,,1650000000,,جنوبی,,,,,,با مجوز-معاوضه با منزل,6,25,25,buy,0,0,upload/property/thumbnail/photo_2022-11-09_19-46-46.jpg,,,,,,,,1,1,
26,2,0,198,شهرک سعیدفر,,,,,,شمالی,,,,,,کارشناسی به روز  کوچه 10 متری,6,26,26,rent,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
