id,pType_id,amenities_id ,property_name ,property_slug,property_code,property_status,lowest_price,max_price,property_thumbnail,short_desc ,long_desc ,bedrooms,bathrooms ,garage ,foundation_size ,property_size,property_video ,address,city ,state ,postal_code ,neighborhood ,latitude,longitude,featured ,hot ,agent_id ,status 
1,مسکونی,,,133,,6دانگ,0,,photo_2022-11-12_09-14-52.jpg,,,2,,,,92,,خیابان فرخی-کوچه سعادت-پلاک47شمالی,,,,,300000000,0,,,1,
2,مسکونی,,,253,,6دانگ,3476000000,,photo_2022-11-10_11-16-43.jpg,,,1,,,,233,,خیابان15خردادشمالی-کوچه سلیمانی-پلاک13جنوبی,,,,,0,0,,,1,
3,آپارتمان,,,67,,6دانگ,3603000000,,photo_2022-11-12_10-48-46.jpg,,,1,,,,95,,خیابان22بهمن مرکزی-بن بست ساربان-پلاک67شمالی,,,,,0,0,,,1,
4,آپارتمان,,,131,,6 دانگ,2574600000,,photo_2022-11-12_09-54-46.jpg,,,3,,,,150,,خیابان منتظری شمالی-شهرک شهداغربی-کوچه انقلاب اسلامی10متری-پلاک10جنوبی-طبقه اول,,,,,0,0,,,1,
5,آپارتمان,,,131,,6دانگ,2251420000,,photo_2022-11-12_09-52-48.jpg,,,3,,,,150,,خیابان منتظری شمالی-شهرک شهداغربی-کوچه انقلاب اسلامی غربی10متری-پلاک10,,,,,0,0,,,1,
6,آپارتمان,,,106,,6دانگ,2100000000,,photo_2022-11-12_09-42-48.jpg,,,2,,,,340,,خیابان قدس غربی-مجتمع یاران-طبقه دوم-واحد3,,,,,0,0,,,1,
7,مسکونی,,,277,,6دانگ,3000000000,,photo_2022-11-12_09-22-52.jpg,,,4,,,,140,,خیابان شریعتی غربی-کوچه مکتب-بین اندیشه و بهار-منزل اول جنوبی,,,,,0,0,,,1,
8,ویلایی,,,135,,6دانگ,3300000000,,photo_2022-11-10_11-02-43.jpg,,,2,,,,156,,خیابان معرفت - کوچه بهار,,,,,0,0,,,1,
9,ویلایی,,,198,,6دانگ,3000000000,,,,,2,,,,162,,بلوار اسرافیلیان-کوچه محمدرسول الله-کوچه پاسدار-پلاک19,,,,,0,0,,,1,
10,مسکونی,,,280,,6دانگ,3500000000,,20221103_112153.jpg,,,3,,,,220,,خیابان رضایی جنوبی-بعدازشهدا-روبروی کوچه سادات-کوچه پیمان شرقی4متری-منزل اول-پلاک1جنوبی,,,,,0,0,,,1,
11,ویلایی,,,360,,6دانگ,0,,photo_2022-11-10_11-34-42.jpg,,,2,,,,235,, خیابان 15 خرداد شمالی - کوچه شهید سلیمانی-پلاک12جنوبی,,,,,500000000,500000,,,1,
12,آپارتمان,,,85,,,0,,۲۰۲۲۱۱۰۳_۱۲۱۶۱۷.jpg,,,2,,,,85,,خیابان کشاورز-کوچه صالحی-کنار درب مشکی رنگ-آپارتمان جنوبی-طبقه دوم-واحد5,,,,,100000000,2500000,,,1,
13,ویلایی,,,206,,6دانگ,3468000000,,photo_2022-11-10_09-56-20.jpg,,,3,,,,144,,خیابان سعدی-کوی ولایتی-پلاک30جنوبی,,,,,0,0,,,1,
14,ویلایی,,,194,,6دانگ,1702000000,,photo_2022-11-10_10-01-37.jpg,,,1,,,,90,,خیابان فرخی-کوچه سعادت-پلاک96,,,,,0,0,,,1,
15,ویلایی,,,349,,6دانگ,4683225000,,photo_2022-11-12_10-57-43.jpg,,,3,,,,305,,خیابان شریعتی شرقی-کوچه پورمحمدی-کوچه احسان-پلاک نبش شمالی شرقی,,,,,0,0,,,1,
16,ویلایی,,,221,,6دانگ,2997860000,,photo_2022-11-10_10-06-57.jpg,,,2,,,,157,,خیابان منتظری شمالی-کوچه شاهبنده-پلاک6 شمالی,,,,,0,0,,,1,
17,مسکونی,,,0,,6دانگ,0,,photo_2022-11-09_19-46-46.jpg,,,1,,,,50,,خیابان شهدا-کوچه نادری-بن بست شهید یوسفی-پلاک48,,,,,60000000,1000000,,,1,
18,زمین,,,0,,مشاع,744800000,,,,,,,,,152,,بلوار فجر-انتهای بیست متری گلستان-بعد از پیچ-کوی فرعی,,,,,0,0,,,1,
19,زمین,,,0,,مشاع,850000000,,,,,,,,,91,,بلوار ولی عصر-زعفرانیه,,,,,0,0,,,1,
20,زمین,,,0,,مشاع,2070000000,,,,,,,,,207,,پشت ارگ شیخ بهایی,,,,,0,0,,,1,
21,زمین,,,0,,مشاع,1700000000,,,,,,,,,184,,پشت ارگ شیخ بهایی,,,,,0,0,,,1,
22,زمین,,,0,,مشاع,2200000000,,,,,,,,,248,,پشت ارگ شیخ بهایی,,,,,0,0,,,1,
24,زمین,,,0,,مشاع,2693250000,,,,,,,,,256,,خیابان معرفت-کوچه گلستان,,,,,0,0,,,1,
25,زمین,,,0,,مشاع,1650000000,,,,,,,,,160,,بلوار ولی عصر-کوی باران-پلاک جنوبی,,,,,0,0,,,1,
26,زمین,,,0,,6دانگ,0,,,,,,,,,160,,روبروی پمپ بنزین فدک-پلاک سوم,,,,,0,0,,,1,
27,زمین,,,0,,مشاع,1300000000,,,,,,,,,198,,شهرک سعیدفر,,,,,0,0,,,1,
28,ویلایی,,,200,,6دانگ,3500000000,,,,,2,,,,185,, خیابان منتظری شمالی-کوچه امینی - منزل دوم جنوبی,,,,,0,0,,,1,
29,زمین,,,0,,مشاع,1360000000,,,,,,,,,160,,بلوار فجر-کوچه گلستان-کوچه اول سمت راست-پلاک آخر,,,,,0,0,,,1,
30,زمین,,,0,,,1980000000,,,,,,,,,180,, بلوار فجر-خیابان فرخی- کوچه دوستی-پلاک هشتم,,,,,0,0,,,1,
31,زمین,,,0,,مشاع,1100000000,,,,,,,,,124,,فلکه بسیج-کوچه دهقان-بعد از چهارراه دوم-سمت راست-کوچه اول سمت راست,,,,,0,0,,,1,
32,زمین,,,0,,6دانگ,3100000000,,,,,,,,,220,,بلوار فجر-خیابان ابوذر-کوچه فقهی,,,,,0,0,,,1,
33,زمین,,,0,,مشاع,1344000000,,,,,,,,,112,,خیابان فرخی شمالی-بن بست رجایی,,,,,0,0,,,1,
34,زمین,,,0,,مشاع,2400000000,,,,,,,,,120,, بلوار فجر-روبروی کوچه فاطمیه(کوچه سوپری),,,,,0,0,,,1,
36,ویلایی,,,326,,6دانگ,5019000000,,photo_2022-11-12_12-22-57.jpg,,,2,,,,248,,خیابان محمدرسول الله-کوی کوثر-پلاک 10 شمالی,,,,,0,0,,,1,
37,زمین,,,0,,مشاع,1123000000,,,,,,,,,144,,بلوار فجر-بعد از مدرسه ملک-کوچه اول سمت راست,,,,,0,0,,,1,
38,زمین,,,0,,مشاع,1263000000,,,,,,,,,162,,بلوار فجر-بعد از مدرسه ملک-کوچه اول سمت راست,,,,,0,0,,,1,
39,ویلایی,,,150,,6دانگ,2300000000,,,,,3,,,,100,, خیابان معرفت-کوچه ذبحی-کوچه ملکی,,,,,0,0,,,1,
40,ویلایی,,,0,,6دانگ,2500000000,,,,,2,,,,190,,"بلوار فجر-کوچه خیام-کوچه کبیرزاده
پلاک15",,,,,0,0,,,1,
41,ویلایی,,,0,,6دانگ,3700000000,,,,,3,,,,312,,بلوار فجر- کوچه خیام-کوچه کبیرزاده-پلاک19,,,,,0,0,,,1,
42,ویلایی,,,200,,6دانگ,3500000000,,,,,2,,,,180,,بلوار فجر-کوچه بشارت-کوچه سنبل-پلاک2شمالی,,,,,0,0,,,1,
43,ویلایی,,,162,,6دانگ,3250000000,,photo_2022-11-13_17-08-35.jpg,,,1,,,,108,,بر خیابان 17 شهریورشرقی-نبش کوچه بهمن,,,,,0,0,,,1,
44,ویلایی,,,150,,6دانگ,3000000000,,,,,3,,,,148,,بلوار ولی عصر-کوچه محمدی-کوچه اول سمت چپ,,,,,0,0,,,1,
45,ویلایی,,,100,,6دانگ,2400000000,,,,,2,,,,120,,خیابان شهدا-کوچه حکیم صناعی-کوچه طاها,,,,,0,0,,,1,
46,ویلایی,,,100,,6دانگ,2800000000,,,,,2,,,,133,,بلوارفجر-کوچه فرخی شمالی-کوچه اول سمت راست-کوی صحرا,,,,,0,0,,,1,
47,ویلایی,,,90,,,0,,photo_2022-11-12_12-45-25.jpg,,,1,,,,90,,آخر خیابان دانش-کوی ظفر-پلاک3 شمالی,,,,,180000000,1000000,,,1,
48,ویلایی,,,86,,6دانگ,2300000000,,photo_2022-11-12_17-50-57.jpg,,,2,,,,114,,"خیابان معرفت-کوچه ذبحی-کوچه ملکی-جنب هشت بهشت-پلاک84
جنوب غربی",,,,,0,0,,,1,
49,زمین,,,0,,مشاع,5280000000,,,,,,,,,240,,بلوار فجر-روبروی مسجد فاطمیه(کوچه سوپری),,,,,0,0,,,1,
50,ویلایی,,,0,,,2150000000,,,,,1,,,,200,,شهرک سعیدفر-خیابان امام رضا-کوی  یزدان   ,,,,,0,0,,,1,
51,ویلایی,,,270,,,3000000000,,photo_2022-11-13_17-30-02.jpg,,,2,,,,333,,خیابان فرخی-کوچه رز-نبش جنوبی-- شرقی,,,,,0,0,,,1,
53,زمین,,,0,,مشاع,770000000,,,,,,,,,96,,بلوار فجر-بعد از مدرسه ملک-کوچه اول سمت راست,,,,,0,0,,,1,
54,ویلایی,,,150,,6دانگ,1820000000,,photo_2022-12-14_16-26-07.jpg,,,2,,,,118,, خیابان مجاهد جنوبی(آیت)-کوی شهدا-پلاک10 جنوبی,,,,,0,0,,,1,
55,زمین,,,0,,مشاع,1100000000,,,,,,,,,120,,فلکه بسیج-کوچه دهقان,,,,,0,0,,,1,
56,زمین,,,0,,مشاع,1170000000,,,,,,,,,130,,خیابان شریعتی-کوچه آبشار-کوچه پنجم-سمت چپ,,,,,0,0,,,1,
57,آپارتمان,,,112,,6دانگ,1776750000,,photo_2022-11-13_12-24-45.jpg,,,2,,,,108,,فلکه بسیج-کوچه دهقان-مجتمع ونوس-طبقه دوم-واحد4,,,,,0,0,,,1,
58,انبار,,,0,,6دانگ,0,,photo_2022-11-13_13-09-21.jpg,,,,,,,280,,روبرو هنرستان پارسا-کنار رستوران قصر نور,,,,,150000000,15000000,,,1,
59,زمین,,,0,,مشاع,1400000000,,,,,,,,,132,,"معرفت.گلستان.سمت چپ .سمت راست.کوچه گل یاس
چسبیده به اخرین منزل شمالی",,,,,0,0,,,1,
60,آپارتمان,,,70,,6دانگ,1750000000,,,,,2,,,,80,,آدرس: 17 شهریورشرقی-قبل از کشاورز-مجتمع آسمان,,,,,0,0,,,1,
61,زمین,,,0,,مشاع,4500000000,,,,,,,,,1000,, خیابان امام رضا-خیابان لا(روبروی پادگان عاشورا),,,,,0,0,,,1,
62,ویلایی,,,200,,6دانگ,0,,۲۰۲۲۱۱۱۴_۰۹۵۲۲۱.jpg,,,2,,,,230,,رضایی جنوبی کوی بارفروش بعد از چهارراه خونه سومی,,,,,500000000,0,,,1,
63,ویلایی,,,334,,6دانگ,7454000000,,۲۰۲۲۱۱۱۴_۱۰۳۱۲۷.jpg,,,5,,,,193,,خیابان باهنرجنوبی-خیابان قدس-پلاک61-نبش بن بست هدایت,,,,,0,0,,,1,
64,ویلایی,,,151,,6دانگ,2320000000,,,,,2,,,,137,, خیابان 15 خردادشمالی-بن بست شقایق,,,,,0,0,,,1,
65,زمین,,,0,,مشاع,1600000000,,,,,,,,,240,, خیابان امام حسین-بن بست ایمان(روبرو پادگان عاشورا),,,,,0,0,,,1,
66,ویلایی,,,130,,6دانگ,2550000000,,,,,2,,,,130,,خیابان منتظری شمالی-کوچه پامچال-پلاک سوم جنوبی,,,,,0,0,,,1,
67,زمین,,,0,,مشاع,810000000,,,,,,,,,135,,بلوار شهدای غربی-بعد از خیابان کشاورز-بن بست 6 متری جنوبی,,,,,0,0,,,1,
68,زمین,,,0,,مشاع,1900000000,,,,,,,,,1000,,ویلاشهر-پارک کبیرزاده-انتهای کانال-کوچه حاج صادقیان,,,,,0,0,,,1,
69,ویلایی,,,0,,مشاع,2200000000,,photo_2022-11-15_16-38-30.jpg,,,2,,,,251,,خیابان دلگشا-کوچه شفیعی-بن بست اول-سمت چپ,,,,,0,0,,,1,
70,زمین,,,0,,6دانگ,1255000000,,photo_2022-11-15_16-41-15.jpg,,,,,,,260,,شهرک سعیدفر-کوچه نگین-آخرکوچه-سمت چپ,,,,,0,0,,,1,
71,ویلایی,,,288,,مشاع,3326000000,,,,,2,,,,175,,خیابان شریعتی غربی-خیابان کشاورز-کوی اطلس-پلاک7,,,,,0,0,,,1,
72,زمین,,,0,,مشاع,1416000000,,,,,,,,,248,,بلوار ایزدی-کوی سپیدرود-بن بست سوم شرقی-زمین آخر جنوبی,,,,,0,0,,,1,
73,زمین,,,0,,مشاع,1264000000,,,,,,,,,148,, خیابان شریعتی شرقی-خیابان آبشار-کوی اردیبهشت شرقی-12 متری-زمین جنوبی,,,,,0,0,,,1,
74,ویلایی,,,70,,6دانگ,1868000000,,photo_2022-11-17_09-09-23.jpg,,,1,,,,105,,خیابان شهداغربی-بالاتر از باهنر-نبش کوچه پونه,,,,,0,0,,,1,
75,ویلایی,,,510,,,7997350000,,photo_2022-11-17_09-32-09.jpg,,,3,,,,224,," خیابان شیخ بهایی جنوبی-بن بست نیک مهر
پلاک 1و7 شمالی جنوبی",,,,,0,0,,,1,
76,باغ,,,62,,مشاع,3570920000,,photo_2022-11-17_11-22-12.jpg,,,,,,,413,,بلوار ایزدی-کوچه رودکی-پلاک155-نبش کوچه 8 متری,,,,,0,0,,,1,
77,زمین,,,0,,مشاع,978000000,,,,,,,,,163,,خیابان 15 خرداد شمالی-کوچه سمندری,,,,,0,0,,,1,
78,ویلایی,,,539,,6 دانگ,7509192500,,,,,4,,,,524,,خیابان رجایی جنوبی-کوچه شهید کارشناس-پلاک 10 شمالی,,,,,0,0,,,1,
79,ویلایی,,,291,,6دانگ,3465000000,,G0032209.JPG,,,3,,,,138,,خیابان معرفت-بن بست سروش-پلاک3جنوبی,,,,,0,0,,,1,
80,ویلایی,,,0,,6 دانگ,1800000000,,,,,,,,,150,,خیابان منتظری جنوبی-قبل از چهارراه گلبهار-بن بست پوراسماعیلی,,,,,0,0,,,1,
81,باغ,,,120,,مشاع,5400000000,,photo_2022-11-19_12-32-02.jpg,,,1,,,,550,," شهرک سعیدفر
خیابان امام رضا",,,,,0,0,,,1,
82,زمین,,,0,,6دانگ,3200000000,,,,,,,,,220,,بلوار فجر-کوچه ابوذر-کوچه فقهی,,,,,0,0,,,1,
83,زمین,,,0,,6دانگ,800000000,,,,,,,,,180,,صالح آباد-خیابان منتظری جنوبی-100 متری فلکه گلها,,,,,0,0,,,1,
84,باغ,,,0,,مشاع,3428882000,,photo_2022-11-20_11-57-57.jpg,,,1,,,,1550,,جلال آباد-میانکوه-از توابع چاه جلالی,,,,,0,0,,,1,
