property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,house_mortgage,rent,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
1,1,0,280,خیابان مهرگان,,,,1280000000,آهن,شمالی,اجرنما,سرامیک,فلز,1,,معرف سعیدی  09133331451,6,1,1,buy,0,0,,,,,,,,,1,1,
2,1,0,233,خیابان15خردادشمالی,,,1,3480000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,,6,2,2,buy,0,0,,,,,,,,,1,1,
3,6,2,95,خیابان 22 بهمن مرکزی,,,1,3600000000,نوساز,شمالی,اجرنما,کف پوش,MDF,1,,آسانسور فاقد کابین و موتور,6,3,3,buy,0,0,,,,,,,,,1,1,
4,6,1,150,خیابان منتظری شمالی,,,3,2570000000,نوساز,جنوبی,اجرنما,سرامیک,MDF,1,,,6,4,4,buy,0,0,,,,,,,,,1,1,
5,6,2,150,خیابان منتظری شمالی,,,3,2250000000,نوساز,جنوبی,اجرنما,سرامیک,MDF,1,,,6,5,5,buy,0,0,,,,,,,,,1,1,
6,6,2,340,خیابان قدس غربی,,2,2,2100000000,بتونی,جنوبی,اجرنما,کف پوش,فلز,,,بدون کاغذ قیمت,6,6,6,buy,0,0,,,,,,,,,1,1,
7,1,2,140,خیابان شریعتی,,,4,3000000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,بدون کاغذ کارشناسی  دو خواب بالا  دو خواب پایین,6,7,7,buy,0,0,,,,,,,,,1,1,
8,1,1,156,خیابان معرفت,,,2,3300000000,نوساز,شمالی,سنگ,سرامیک,MDF,1,1,بدون کاغذ قیمت,6,8,8,buy,0,0,,,,,,,,,1,1,
9,2,0,1000,خیابان امام رضا,,,,3000000000,آهن,شمالی,سنگ,سرامیک,MDF,,1,بدون کاغذ قیمت,6,9,9,buy,0,0,,,,,,,,,1,1,
10,1,2,220,خیابان رضایی جنوبی,,,3,3500000000,آهن,جنوبی,اجرنما,سرامیک,MDF,1,1,سازه نو-مهدی پورنمازیان  1401/8/12  معرف میثم جلالی,6,10,10,buy,0,0,,,,,,,,,1,1,
11,1,2,235,15 خرداد,,,2,0,آهن,جنوبی,اجرنما,موزاییک,فلز,,1,ورودی مجزا,6,11,11,buy,0,0,,,,,,,,,1,1,
13,1,2,144,خیابان سعدی,2,,3,3470000000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,1,دوبلکس    طبقه اول یک خواب-طبقه دوم دو خواب,6,13,13,buy,0,0,,,,,,,,,1,1,
15,1,1,305,خیابان شریعتی,,,3,4680000000,بتونی,شمالی جنوبی شرقی,سیمان سیاه,سرامیک,فلز,1,1,معرف میثم جلالی  دارای کولر و پرده,6,15,15,buy,0,0,,,,,,,,,1,1,
16,1,0,157,خیابان منتظری شمالی,2,,2,3000000000,آهن,شمالی,اجرنما,موزاییک,MDF,1,1,یک خواب طبقه پایین  نرخ نامه: ابراهیم پورنمازیان,6,16,16,buy,0,0,,,,,,,,,1,1,
19,2,0,184,پشت ارگ شیخ بهایی,,,,850000000,850000000,شمالی غربی دو کله,,,,,,همکار امید مرادی  پا ساخت و امکانات,6,19,19,buy,0,0,,,,,,,,,1,1,
20,2,0,207,پشت ارگ شیخ بهایی,,,,2070000000,2070000000,شمالی,,,,,,آقای محمدی  همکار امید مرادی,6,20,20,buy,0,0,,,,,,,,,1,1,
25,2,0,160,بلوار ولی عصر,,,,1650000000,2693250000,جنوبی,,,,,,با مجوز-معاوضه با منزل,6,25,25,buy,0,0,,,,,,,,,1,1,
26,2,0,198,شهرک سعیدفر,,,,1300000000,2500000000,شمالی,,,,,,کارشناسی به روز  کوچه 10 متری,6,26,26,buy,0,0,,,,,,,,,1,1,
36,1,2,248,خیابان محمد رسول الله,,,2,5020000000,بتونی,شمالی,اجرنما,موزاییک,MDF,1,1,طبقه دوم سفت کاری,6,36,36,buy,0,0,,,,,,,,,1,1,
43,1,2,108,خیابان 17 شهریور,,,1,3250000000,آهن,شمالی,اجرنما,موزاییک,,1,1, با کولر  مناسب انباری  قیمت ابراهیم پورنمازی مربوط به اسفند 1401  تخفیف نقدی,6,43,43,buy,0,0,,,,,,,,,1,1,
44,1,2,148,بلوار ولی عصر,,,3,3000000000,1100000000,جنوبی,,,,,,1 خواب پایین  2خواب بالا  دوبلکس   بدون عکس و فیلم  همکار,6,44,44,buy,0,0,,,,,,,,,1,1,
45,1,0,120,خیابان شهدا,,,2,2400000000,3100000000,جنوبی,,,,,,نوساز  بدون عکس و فیلم  همکار,6,45,45,buy,0,0,,,,,,,,,1,1,
46,1,0,133,بلوار فجر,,,2,2800000000,1344000000,شمالی,,,,,,نوساز  بدون عکس و فیلم,6,46,46,buy,0,0,,,,,,,,,1,1,
48,1,1,114,خیابان معرفت,,,2,2300000000,بتونی,جنوبی غربی,اجرنما,سرامیک,MDF,1,1,دارای دو ورودی  دو نبش  برگ قیمت: ابراهیم عبدالعظیمی,6,48,48,buy,0,0,,,,,,,,,1,1,
