_MelkID,_MalekID,Masahat,TabagheCNT,MelkType,Mahdude,Address,Baygani,Tedad_KOL_Tabaghat,Tabaghe_darVahed,tedadkhab,MablaghForush,VaziatBana,Jahat,nama,KafPush,ServisKichen,Parking,VorudiMostaghrl,Tozihat
1,11,280,NULL,مسکونی,بلوار فجر,خیابان مهرگان,,,,,1٫28E+09,آهن,شمالی,اجرنما,سرامیک,فلز,1,,معرف سعیدی  09133331451
2,22,233,NULL,مسکونی,خیابان 15 خرداد شمالی,خیابان15خردادشمالی-کوچه سلیمانی-پلاک13جنوبی,,,,1,3٫48E+09,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,
3,33,95,2,آپارتمان,22بهمن مرکزی,خیابان22بهمن مرکزی-بن بست ساربان-پلاک67شمالی,,,,1,3٫60E+09,نوساز,شمالی,اجرنما,کف پوش,MDF,1,,آسانسور فاقد کابین و موتور
4,44,150,1,آپارتمان,منتظری شمالی,خیابان منتظری شمالی-شهرک شهداغربی-کوچه انقلاب اسلامی10متری-پلاک10جنوبی-طبقه اول,,,,3,2٫57E+09,نوساز,جنوبی,اجرنما,سرامیک,MDF,1,,
5,55,150,2,آپارتمان,خیابان آیت الله منتظری شمالی,خیابان منتظری شمالی-شهرک شهداغربی-کوچه انقلاب اسلامی غربی10متری-پلاک10,,,,3,2٫25E+09,نوساز,جنوبی,اجرنما,سرامیک,MDF,1,,
6,66,340,2,آپارتمان,خیابان قدس غربی,خیابان قدس غربی-مجتمع یاران-طبقه دوم-واحد3,,,2,2,2٫10E+09,بتونی,جنوبی,اجرنما,کف پوش,فلز,,,بدون کاغذ قیمت
7,77,140,2,مسکونی,خیابان شریعتی غربی,خیابان شریعتی غربی-کوچه مکتب-بین اندیشه و بهار-منزل اول جنوبی,,,,4,3٫00E+09,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,بدون کاغذ کارشناسی  دو خواب بالا  دو خواب پایین
8,88,156,1,ویلایی,خیابان معرفت,خیابان معرفت - کوچه بهار,,,,2,3٫30E+09,نوساز,شمالی,سنگ,سرامیک,MDF,1,1,بدون کاغذ قیمت
9,99,1000,NULL,زمین,شهرک سعیدفر, خیابان امام رضا-خیابان لا(روبروی پادگان عاشورا),,,,,3٫00E+09,آهن,شمالی,سنگ,سرامیک,MDF,,1,بدون کاغذ قیمت
10,1010,220,2,مسکونی,خیابان رجایی جنوبی,خیابان رضایی جنوبی-بعدازشهدا-روبروی کوچه سادات-کوچه پیمان شرقی4متری-منزل اول-پلاک1جنوبی,,,,3,3٫50E+09,آهن,جنوبی,اجرنما,سرامیک,MDF,1,1,سازه نو-مهدی پورنمازیان  1401/8/12  معرف میثم جلالی
